#Time (s);Angle (degrees)
0;0
0.0171499;0.1305
0.033616;0.5004
0.0485216;1.0422
0.0617794;1.6902
0.0736406;2.4012
0.084383;3.1527
0.0942309;3.9321
0.103353;4.7295
0.111877;5.5422
0.119899;6.3657
0.127492;7.1973
0.134716;8.0361
0.141616;8.8803
0.148232;9.7299
0.154594;10.5831
0.160729;11.439
0.166658;12.2985
0.172401;13.1607
0.177972;14.0256
0.183387;14.8914
0.188658;15.7599
0.193794;16.6302
0.198807;17.5014
0.203703;18.3744
0.208491;19.2483
0.213178;20.1231
0.217769;20.9988
0.22227;21.8763
0.226686;22.7538
0.231021;23.6322
0.23528;24.5124
0.239467;25.3926
0.243585;26.2728
0.247637;27.1548
0.251627;28.0368
0.255557;28.9188
0.259429;29.8017
0.263247;30.6855
0.267011;31.5693
0.270726;32.454
0.274391;33.3387
0.27801;34.2243
0.281584;35.109
0.285115;35.9955
0.288603;36.882
0.292051;37.7685
0.29546;38.655
0.298832;39.5424
0.302166;40.4298
0.305466;41.3172
0.308731;42.2055
0.311962;43.0938
0.315162;43.9821
0.31833;44.8704
0.321467;45.7596
0.324575;46.6488
0.327654;47.538
0.330706;48.4272
0.33373;49.3173
0.336727;50.2065
0.339698;51.0966
0.342645;51.9867
0.345566;52.8777
0.348464;53.7678
0.351338;54.6588
0.35419;55.5498
0.357019;56.4408
0.359826;57.3318
0.362612;58.2228
0.365377;59.1138
0.368122;60.0057
0.370847;60.8976
0.373552;61.7886
0.376238;62.6805
0.378906;63.5724
0.381555;64.4643
0.384186;65.3571
0.3868;66.249
0.389396;67.1418
0.391976;68.0337
0.394539;68.9265
0.397085;69.8193
0.399616;70.7121
0.402131;71.6049
0.40463;72.4977
0.407115;73.3905
0.409584;74.2842
0.412039;75.177
0.41448;76.0707
0.416907;76.9635
0.41932;77.8572
0.421719;78.7509
0.424104;79.6437
0.426477;80.5374
0.428837;81.4311
0.431184;82.3248
0.433518;83.2185
0.43584;84.1131
0.43815;85.0068
0.440448;85.9005
0.442734;86.7951
0.445009;87.6888
0.447272;88.5834
0.449524;89.4771
0.451765;90.3717
0.453995;91.26603
0.456214;92.16045
0.458422;93.05496
0.460621;93.94947
0.462808;94.84398
0.464986;95.73867
0.467153;96.63327
0.469311;97.52796
0.471459;98.42274
0.473597;99.31752
0.475726;100.21239
0.477845;101.10735
0.479956;102.00222
0.482057;102.89727
0.484149;103.79223
0.486232;104.68728
0.488306;105.58242
0.490371;106.47756
0.492429;107.3727
0.494477;108.26793
0.496517;109.16325
0.498549;110.05848
0.500573;110.95389
0.502589;111.84921
0.504596;112.74462
0.506596;113.64012
0.508588;114.53553
0.510573;115.43112
0.512549;116.32662
0.514519;117.22221
0.516481;118.1178
0.518435;119.01348
0.520382;119.90916
0.522322;120.80484
0.524255;121.70061
0.526181;122.59638
0.5281;123.49215
0.530012;124.38801
0.531917;125.28387
0.533815;126.17973
0.535707;127.07568
0.537592;127.97163
0.539471;128.86758
0.541343;129.76362
0.543209;130.65966
0.545068;131.5557
0.546922;132.45174
0.548769;133.34787
0.550609;134.244
0.552444;135.14013
0.554273;136.03635
0.556096;136.93257
0.557913;137.82879
0.559724;138.72501
0.561529;139.62132
0.563328;140.51763
0.565122;141.41394
0.56691;142.31025
0.568693;143.20665
0.57047;144.10305
0.572241;144.99945
0.574008;145.89585
0.575768;146.79234
0.577524;147.68883
0.579274;148.58532
0.581019;149.48181
0.582759;150.3783
0.584493;151.27488
0.586223;152.17146
0.587947;153.06804
0.589667;153.96462
0.591381;154.86129
0.593091;155.75796
0.594796;156.65463
0.596496;157.5513
0.598191;158.44797
0.599881;159.34473
0.601567;160.24149
0.603247;161.13825
0.604924;162.03501
0.606595;162.93186
0.608263;163.82862
0.609925;164.72547
0.611583;165.62232
0.613237;166.51917
0.614886;167.41611
0.616531;168.31296
0.618172;169.2099
0.619808;170.10684
0.62144;171.003771
0.623067;171.900738
0.624691;172.797705
0.62631;173.69469
0.627925;174.591684
0.629536;175.488687
0.631143;176.385735
0.632746;177.282792
0.634345;178.17984
0.63594;179.076915
0.637531;179.9740142
0.639118;180
0.640701;179.1947052
0.642463;178.301025
0.64423;177.407388
0.646003;176.513787
0.647781;175.620222
0.649564;174.726711
0.651354;173.833218
0.653149;172.939779
0.654949;172.046394
0.656755;171.153045
0.658567;170.25975
0.660385;169.3665
