#Time (s);Angle (radians)
0;0
0.0171499;0.002277655
0.033616;0.008733628
0.0485216;0.018189821
0.0617794;0.029499555
0.0736406;0.041908846
0.084383;0.055024995
0.0942309;0.068628092
0.103353;0.082545347
0.111877;0.096729638
0.119899;0.111102424
0.127492;0.125616582
0.134716;0.140256404
0.141616;0.154990474
0.148232;0.169818791
0.154594;0.18470994
0.160729;0.199648213
0.166658;0.214649318
0.172401;0.229697547
0.177972;0.2447929
0.183387;0.25990396
0.188658;0.275062145
0.193794;0.290251745
0.198807;0.305457054
0.203703;0.320693778
0.208491;0.33594621
0.213178;0.351214351
0.217769;0.366498199
0.22227;0.381813463
0.226686;0.397128727
0.231021;0.412459699
0.23528;0.427822088
0.239467;0.443184476
0.243585;0.458546864
0.247637;0.473940668
0.251627;0.489334472
0.255557;0.504728276
0.259429;0.520137788
0.263247;0.535563008
0.267011;0.550988228
0.270726;0.566429155
0.274391;0.581870083
0.27801;0.597326719
0.281584;0.612767647
0.285115;0.628239991
0.288603;0.643712335
0.292051;0.659184679
0.29546;0.674657022
0.298832;0.690145074
0.302166;0.705633126
0.305466;0.721121178
0.308731;0.736624937
0.311962;0.752128697
0.315162;0.767632457
0.31833;0.783136217
0.321467;0.798655684
0.324575;0.814175152
0.327654;0.82969462
0.330706;0.845214088
0.33373;0.860749263
0.336727;0.876268731
0.339698;0.891803907
0.342645;0.907339082
0.345566;0.922889966
0.348464;0.938425142
0.351338;0.953976025
0.35419;0.969526909
0.357019;0.985077792
0.359826;1.000628676
0.362612;1.01617956
0.365377;1.031730443
0.368122;1.047297035
0.370847;1.062863627
0.373552;1.07841451
0.376238;1.093981102
0.378906;1.109547693
0.381555;1.125114285
0.384186;1.140696585
0.3868;1.156263176
0.389396;1.171845476
0.391976;1.187412067
0.394539;1.202994367
0.397085;1.218576666
0.399616;1.234158966
0.402131;1.249741266
0.40463;1.265323565
0.407115;1.280905865
0.409584;1.296503872
0.412039;1.312086172
0.41448;1.327684179
0.416907;1.343266479
0.41932;1.358864486
0.421719;1.374462494
0.424104;1.390044793
0.426477;1.405642801
0.428837;1.421240809
0.431184;1.436838816
0.433518;1.452436824
0.43584;1.468050539
0.43815;1.483648547
0.440448;1.499246554
0.442734;1.51486027
0.445009;1.530458277
0.447272;1.546071993
0.449524;1.56167
0.451765;1.577283716
0.453995;1.592892719
0.456214;1.608503293
0.458422;1.624115437
0.460621;1.639727582
0.462808;1.655339727
0.464986;1.670955013
0.467153;1.686568728
0.469311;1.702184015
0.471459;1.717800872
0.473597;1.733417729
0.475726;1.749036157
0.477845;1.764656155
0.479956;1.780274583
0.482057;1.795896153
0.484149;1.811516151
0.486232;1.827137721
0.488306;1.842760861
0.490371;1.858384001
0.492429;1.874007142
0.494477;1.889631853
0.496517;1.905258135
0.498549;1.920882846
0.500573;1.936510698
0.502589;1.95213698
0.504596;1.967764833
0.506596;1.983394256
0.508588;1.999022109
0.510573;2.014653103
0.512549;2.030282527
0.514519;2.045913521
0.516481;2.061544515
0.518435;2.07717708
0.520382;2.092809645
0.522322;2.10844221
0.524255;2.124076346
0.526181;2.139710482
0.5281;2.155344618
0.530012;2.170980325
0.531917;2.186616031
0.533815;2.202251738
0.535707;2.217889015
0.537592;2.233526293
0.539471;2.24916357
0.541343;2.264802418
0.543209;2.280441267
0.545068;2.296080115
0.546922;2.311718963
0.548769;2.327359382
0.550609;2.342999801
0.552444;2.35864022
0.554273;2.37428221
0.556096;2.3899242
0.557913;2.40556619
0.559724;2.421208179
0.561529;2.43685174
0.563328;2.452495301
0.565122;2.468138861
0.56691;2.483782422
0.568693;2.499427553
0.57047;2.515072685
0.572241;2.530717816
0.574008;2.546362947
0.575768;2.56200965
0.577524;2.577656352
0.579274;2.593303054
0.581019;2.608949756
0.582759;2.624596459
0.584493;2.640244732
0.586223;2.655893005
0.587947;2.671541278
0.589667;2.687189551
0.591381;2.702839394
0.593091;2.718489238
0.594796;2.734139082
0.596496;2.749788926
0.598191;2.76543877
0.599881;2.781090184
0.601567;2.796741599
0.603247;2.812393013
0.604924;2.828044428
0.606595;2.843697413
0.608263;2.859348828
0.609925;2.875001813
0.611583;2.890654799
0.613237;2.906307784
0.614886;2.92196234
0.616531;2.937615326
0.618172;2.953269882
0.619808;2.968924438
0.62144;2.984578837
0.623067;3.000233865
0.624691;3.015888892
0.62631;3.031544234
0.627925;3.047199732
0.629536;3.062855388
0.631143;3.078511829
0.632746;3.094168428
0.634345;3.109824869
0.63594;3.125481781
0.637531;3.141139116
0.639118;3.141592654
0.640701;3.127537608
0.642463;3.111939946
0.64423;3.096343038
0.646003;3.080746758
0.647781;3.065151107
0.649564;3.049556398
0.651354;3.033962003
0.653149;3.018368551
0.654949;3.002776041
0.656755;2.98718416
0.658567;2.971593221
0.660385;2.956003068
0.662209;2.940412914
0.664039;2.924824331
0.665875;2.909235749
0.667716;2.893648737
0.669564;2.878061725
0.671419;2.862476283
0.673279;2.846892413
0.675146;2.831308543
0.677019;2.815726243
0.678898;2.800143944
0.680784;2.784561644
0.682677;2.768980915
0.684576;2.753401757
0.686482;2.737822599
0.688395;2.722245012
0.690315;2.706668996
0.692241;2.691092979
0.694175;2.675518534
0.696116;2.659944088
0.698064;2.644371214
0.700019;2.62879991
0.701981;2.613228606
0.703951;2.597658872
0.705929;2.58209071
0.707914;2.566522548
0.709906;2.550955956
0.711907;2.535390935
0.713915;2.519827485
0.715931;2.504264035
0.717955;2.488702156
0.719988;2.473141848
0.722028;2.457581539
0.724077;2.442024372
0.726134;2.426467205
0.7282;2.410911609
0.730275;2.395357584
0.732358;2.379803559
0.73445;2.364252675
0.736551;2.348701792
0.738661;2.33315405
0.740781;2.317606308
0.74291;2.302060136
0.745048;2.286515536
0.747196;2.270972506
0.749353;2.255431047
0.75152;2.239889589
0.753698;2.224351271
0.755885;2.208814525
0.758083;2.193279349
0.760291;2.177745744
0.76251;2.162215281
0.764739;2.146684818
0.766979;2.131155925
0.76923;2.115628604
0.771493;2.100104423
0.773766;2.084581814
0.776052;2.069060776
0.778349;2.053541308
0.780657;2.038024982
0.782978;2.022510226
0.785311;2.006997042
0.787657;1.991485428
0.790015;1.975976956
0.792386;1.960470055
0.79477;1.944966295
0.797167;1.929464106
0.799578;1.913965059
0.802003;1.898467582
0.804441;1.882973247
0.806894;1.867480483
0.809361;1.85199086
0.811843;1.836504379
0.814339;1.821019469
0.816851;1.805539271
0.819379;1.790059074
0.821922;1.774583588
0.824482;1.759111244
0.827058;1.743642042
0.82965;1.728174411
0.83226;1.712711492
0.834887;1.697251714
0.837531;1.681795078
0.840194;1.666341584
0.842875;1.650892802
0.845575;1.635447162
0.848295;1.620004663
0.851034;1.604566877
0.853793;1.589132232
0.856572;1.5737023
0.859373;1.55827708
0.862195;1.54285186
0.865039;1.527442348
0.867906;1.512032836
0.870795;1.496623324
0.873708;1.481213812
0.876645;1.465820008
0.879607;1.450426204
0.882595;1.435048108
0.885608;1.419670012
0.888648;1.404291916
0.891715;1.38891382
0.894811;1.373551432
0.897936;1.358204752
0.90109;1.342858072
0.904275;1.327511392
0.907491;1.31218042
0.91074;1.296849447
0.914022;1.281534183
0.917339;1.266218919
0.920691;1.250919363
0.92408;1.235635515
0.927507;1.220351666
0.930973;1.205067818
0.934479;1.189815386
0.938028;1.174562953
0.94162;1.159326229
0.945257;1.144089505
0.948941;1.128884196
0.952673;1.113678888
0.956456;1.098489287
0.960291;1.083315395
0.964181;1.06815721
0.968129;1.053014734
0.972135;1.037887965
0.976205;1.022792612
0.980339;1.00769726
0.984542;0.992633323
0.988817;0.977600802
0.993167;0.962583989
0.997597;0.947582884
1.00211;0.932628903
1.00671;0.91769063
1.01141;0.902799481
1.01621;0.88792404
1.02111;0.873095722
1.02612;0.858314529
1.03126;0.843580459
1.03653;0.828893514
1.04193;0.8142694
1.04749;0.79969241
1.05321;0.78519396
1.05911;0.770789758
1.0652;0.756448387
1.0715;0.74223268
1.07805;0.728111221
1.08485;0.714146842
1.09195;0.700323834
1.09937;0.68670503
1.10718;0.673306138
1.11541;0.660189988
1.12415;0.647419414
1.13348;0.635104371
1.14349;0.623354814
1.15435;0.612390656
1.1662;0.602478931
1.17924;0.594106587
1.19362;0.587901941
1.20932;0.584776057
1.22582;0.585608579
1.24209;0.590540879
1.25716;0.598771852
1.27073;0.609170523
1.28291;0.620935788
1.29394;0.63356499
1.30404;0.646791096
1.31338;0.6604099
1.32209;0.674342863
1.33028;0.688495738
1.33802;0.702837108
1.34537;0.717319851
1.35239;0.731912548
1.35911;0.746599494
1.36557;0.761380688
1.37179;0.776224713
1.3778;0.79113157
1.38362;0.806085551
1.38926;0.821086656
1.39474;0.836134885
1.40007;0.851214529
1.40526;0.866341298
1.41032;0.881483775
1.41527;0.896657667
1.4201;0.911847268
1.42483;0.927068284
1.42947;0.942305008
1.43401;0.957557441
1.43846;0.972841289
1.44283;0.988125137
1.44712;1.003424694
1.45134;1.018755666
1.45549;1.034086638
1.45957;1.049433318
1.46359;1.064779998
1.46755;1.080158094
1.47145;1.09553619
1.47529;1.110914286
1.47908;1.12630809
1.48282;1.141717602
1.48651;1.157127114
1.49015;1.172552334
1.49374;1.187977554
1.49729;1.203402774
1.5008;1.218843702
1.50427;1.234300338
1.5077;1.249741266
1.51109;1.265213609
1.51444;1.280670245
1.51776;1.296142589
1.52104;1.311614933
1.52428;1.327087277
1.5275;1.342575328
1.53068;1.35806338
1.53384;1.373551432
1.53696;1.389055192
1.54005;1.404558952
1.54312;1.420062711
1.54615;1.435566471
1.54916;1.451070231
1.55215;1.466589698
1.55511;1.482109166
1.55804;1.497628634
1.56095;1.513148102
1.56384;1.528683277
1.5667;1.544202745
1.56954;1.559737921
1.57236;1.575276238
1.57516;1.590814555
1.57793;1.606354443
1.58069;1.621897473
1.58342;1.637443644
1.58614;1.652991386
1.58883;1.668540699
1.59151;1.684093153
1.59417;1.699647179
1.59681;1.715202775
1.59943;1.730761512
1.60204;1.746321821
1.60463;1.7618837
1.6072;1.777448721
1.60975;1.793013742
1.61229;1.808581904
1.61481;1.824151637
1.61732;1.83972137
1.61981;1.855294245
1.62229;1.870868691
1.62475;1.886444707
1.6272;1.902022294
1.62964;1.917601452
1.63206;1.933182181
1.63446;1.948764481
1.63686;1.96434678
1.63923;1.97993065
1.6416;1.995517662
1.64395;2.011104674
