http://spheric-sph.org/tests/test-10
time	Pressure(Pa)
0	9.992823
0.005	-13.989977
0.00045	16.654723
0.0052	-13.989977
0.0077	9.992823
0.0107	-12.657577
0.01145	11.325223
0.01795	-12.657577
0.01605	13.989923
0.02235	-13.989977
0.02375	21.984223
0.0285	-17.987077
0.02815	8.660423
0.0305	-11.325177
0.03155	17.987123
0.0362	-16.654677
0.03545	21.984223
0.04435	-16.654677
0.04025	12.657623
0.0494	-16.654677
0.0469	21.984223
0.0505	-16.654677
0.0547	23.316623
0.05775	-9.992877
0.05585	16.654723
0.065	-13.989977
0.06225	28.646123
0.0659	-23.316577
0.0698	15.322323
0.0703	-13.989977
0.0737	16.654723
0.0771	-8.660477
0.07785	19.319523
0.08195	-11.325177
0.0849	16.654723
0.08875	-12.657577
0.0862	8.660423
0.0903	-15.322377
0.0937	20.651823
0.09645	-9.992877
0.0961	15.322323
0.10415	-27.313777
0.10175	19.319523
0.10855	-16.654677
0.1078	15.322323
0.1103	-17.987077
0.1122	20.651823
0.1156	-7.328077
0.11635	17.987123
0.1246	-12.657577
0.12025	17.987123
0.1268	-19.319477
0.12755	15.322323
0.1312	-19.319477
0.1346	17.987123
0.1356	-15.322377
0.13805	17.987123
0.1444	-20.651877
0.1403	13.989923
0.14945	-20.651877
0.14995	36.640423
0.151	-15.322377
0.15335	17.987123
0.1576	-11.325177
0.15795	39.305123
0.16375	-15.322377
0.16365	16.654723
0.1653	-19.319477
0.16845	11.325223
0.17235	-20.651877
0.17285	13.989923
0.1765	-11.325177
0.1795	17.987123
0.18115	-13.989977
0.18405	16.654723
0.18575	-15.322377
0.19	13.989923
0.19095	-15.322377
0.19135	21.984223
0.19915	-15.322377
0.19705	25.981323
0.2024	-12.657577
0.20475	35.308023
0.2067	-13.989977
0.20655	15.322323
0.2101	-12.657577
0.21035	23.316623
0.2179	-8.660477
0.21815	31.310923
0.22205	-13.989977
0.2228	24.649023
0.2258	-9.992877
0.2257	21.984223
0.2302	-7.328077
0.2335	27.313723
0.237	-4.663277
0.23595	32.643223
0.2414	-8.660477
0.24065	56.626023
0.2491	-3.330977
0.2471	27.313723
0.2502	-5.995677
0.2531	41.969923
0.2559	0.666223
0.2571	29.978523
0.26495	-41.969877
0.26065	29.978523
0.2676	-4.663277
0.26525	35.308023
0.27065	1.998523
0.27125	35.308023
0.27615	1.998523
0.27575	41.969923
0.2827	1.998523
0.28085	33.975623
0.2876	1.998523
0.28685	33.975623
0.2911	0.666223
0.29185	35.308023
0.2955	7.328123
0.29825	36.640423
0.30475	7.328123
0.3017	39.305123
