G. Fekken. Numerical simulation of free surface flow with moving rigid bodies. PhD thesis, University of Groningen, 2004.
Time(-)	Displacement(m)
  0.0000000e+000  0.0000000e+000
  2.9862716e-002  0.0000000e+000
  6.1223585e-002 -1.1707462e-003
  9.2584454e-002 -2.3414924e-003
  1.2394532e-001 -3.5263440e-003
  1.5530619e-001 -5.8678364e-003
  1.8666706e-001 -8.2234342e-003
  2.1802793e-001 -1.1749778e-002
  2.4938880e-001 -1.5276122e-002
  2.8074967e-001 -1.8802466e-002
  3.1211054e-001 -2.2328810e-002
  3.4347141e-001 -2.7025900e-002
  3.7483228e-001 -3.1737096e-002
  4.0619314e-001 -3.7604932e-002
  4.3755401e-001 -4.2316128e-002
  4.6891488e-001 -4.8183964e-002
  5.0027575e-001 -5.5236652e-002
  5.3163662e-001 -6.1118594e-002
  5.6299749e-001 -6.8171282e-002
  5.9435836e-001 -7.5223970e-002
  6.2571923e-001 -8.3447404e-002
  6.5708010e-001 -9.0500092e-002
  6.8844097e-001 -9.8737632e-002
  7.1980184e-001 -1.0813181e-001
  7.5116270e-001 -1.1636935e-001
  7.8251999e-001 -1.2576353e-001
  8.1388086e-001 -1.3517182e-001
  8.4524173e-001 -1.4458010e-001
  8.7660260e-001 -1.5515914e-001
  9.0796347e-001 -1.6573817e-001
  9.3932433e-001 -1.7631720e-001
  9.7068520e-001 -1.8689623e-001
  1.0020461e+000 -1.9864601e-001
  1.0319195e+000 -2.0922504e-001
  1.0632804e+000 -2.2097482e-001
  1.0946413e+000 -2.3273870e-001
  1.1260021e+000 -2.4448848e-001
  1.1573630e+000 -2.5742311e-001
  1.1887239e+000 -2.7034364e-001
  1.2200848e+000 -2.8210752e-001
  1.2514456e+000 -2.9502804e-001
  1.2828065e+000 -3.0913342e-001
  1.3141674e+000 -3.2206805e-001
  1.3455282e+000 -3.3617342e-001
  1.3768891e+000 -3.4910805e-001
  1.4082500e+000 -3.6321343e-001
  1.4396108e+000 -3.7731881e-001
  1.4709717e+000 -3.9142418e-001
  1.5023326e+000 -4.0552956e-001
  1.5336934e+000 -4.2080568e-001
  1.5650543e+000 -4.3491106e-001
  1.5964152e+000 -4.5018718e-001
  1.6277761e+000 -4.6429255e-001
  1.6591369e+000 -4.7958278e-001
  1.6904978e+000 -4.9485890e-001
  1.7218587e+000 -5.1013503e-001
  1.7532195e+000 -5.2542525e-001
  1.7845804e+000 -5.4070138e-001
  1.8159413e+000 -5.5716235e-001
  1.8473021e+000 -5.7243847e-001
  1.8786630e+000 -5.8771459e-001
  1.9100239e+000 -6.0417557e-001
  1.9413847e+000 -6.1945169e-001
  1.9727456e+000 -6.3591266e-001
  2.0041065e+000 -6.5118879e-001
  2.0354674e+000 -6.6764976e-001
  2.0653408e+000 -6.8411073e-001
  2.0967017e+000 -6.9938686e-001
  2.1280626e+000 -7.1584783e-001
  2.1594234e+000 -7.3229470e-001
  2.1907843e+000 -7.4875567e-001
  2.2221452e+000 -7.6521665e-001
  2.2535060e+000 -7.8049277e-001
  2.2848669e+000 -7.9695374e-001
  2.3162278e+000 -8.1340061e-001
  2.3475886e+000 -8.2986158e-001
  2.3789495e+000 -8.4632256e-001
  2.4103104e+000 -8.6276943e-001
  2.4416712e+000 -8.7805965e-001
  2.4730321e+000 -8.9450652e-001
  2.4730321e+000 -8.9450652e-001
  2.5043930e+000 -9.1096749e-001
  2.5357539e+000 -9.2742847e-001
  2.5671147e+000 -9.4387534e-001
  2.5984756e+000 -9.6033631e-001
  2.6298365e+000 -9.7679728e-001
  2.6611973e+000 -9.9207341e-001
  2.6925582e+000 -1.0085344e+000
  2.7239191e+000 -1.0249812e+000
  2.7552799e+000 -1.0414422e+000
  2.7866408e+000 -1.0579032e+000
  2.8180017e+000 -1.0731793e+000
  2.8493625e+000 -1.0896403e+000
  2.8807234e+000 -1.1060872e+000
  2.9120843e+000 -1.1213774e+000
  2.9434452e+000 -1.1378243e+000
  2.9748060e+000 -1.1531145e+000
  3.0061669e+000 -1.1695614e+000
  3.0375278e+000 -1.1848516e+000
  3.0673833e+000 -1.2012984e+000
  3.0987442e+000 -1.2165887e+000
  3.1301050e+000 -1.2318648e+000
  3.1614659e+000 -1.2471409e+000
  3.1928268e+000 -1.2624311e+000
  3.2241877e+000 -1.2788780e+000
  3.2555485e+000 -1.2941682e+000
  3.2869094e+000 -1.3082736e+000
  3.3182703e+000 -1.3235497e+000
  3.3496311e+000 -1.3388259e+000
  3.3809920e+000 -1.3541161e+000
  3.4123529e+000 -1.3682215e+000
  3.4437137e+000 -1.3834976e+000
  3.4750746e+000 -1.3976030e+000
  3.5064355e+000 -1.4128791e+000
  3.5377963e+000 -1.4269845e+000
  3.5691572e+000 -1.4410898e+000
  3.6005181e+000 -1.4563801e+000
  3.6318790e+000 -1.4704854e+000
  3.6632398e+000 -1.4845908e+000
  3.6946007e+000 -1.4986962e+000
  3.7259616e+000 -1.5128016e+000
  3.7573224e+000 -1.5257221e+000
  3.7886833e+000 -1.5398275e+000
  3.8200442e+000 -1.5539328e+000
  3.8514050e+000 -1.5668675e+000
  3.8827659e+000 -1.5809729e+000
  3.9141268e+000 -1.5939075e+000
  3.9454876e+000 -1.6080129e+000
  3.9768485e+000 -1.6209334e+000
  4.0082094e+000 -1.6338680e+000
  4.0395702e+000 -1.6468026e+000
  4.0709311e+000 -1.6609080e+000
  4.1008046e+000 -1.6738285e+000
  4.1321655e+000 -1.6867632e+000
  4.1635263e+000 -1.6985130e+000
