S. Moyo and M. Greenhow. Free motion of a cylinder moving below and through a free surface. Applied Ocean Research, 22:31-44, 2000.
Time(-)	Displacement(m)
  5.0000000e-001  0.0000000e+000
  5.2959294e-001  0.0000000e+000
  5.5622445e-001 -3.4057777e-002
  5.8433313e-001 -3.2887745e-002
  6.1096464e-001 -3.2887745e-002
  6.3907332e-001 -4.4630348e-002
  6.6570484e-001 -5.5202919e-002
  6.9382061e-001 -5.5202919e-002
  7.2045213e-001 -6.5775491e-002
  7.4856080e-001 -7.7532190e-002
  7.7519232e-001 -7.7532190e-002
  8.0330099e-001 -8.8104761e-002
  8.2992896e-001 -8.8104761e-002
  8.5805184e-001 -9.8677333e-002
  8.8468335e-001 -1.1041994e-001
  9.1278848e-001 -1.2099251e-001
  9.3941999e-001 -1.3273511e-001
  9.6752512e-001 -1.4330768e-001
  9.9415663e-001 -1.5388025e-001
  1.0222795e+000 -1.5388025e-001
  1.0503846e+000 -1.7620952e-001
  1.0770162e+000 -1.8795213e-001
  1.1051213e+000 -1.8678209e-001
  1.1317528e+000 -2.1026730e-001
  1.1598757e+000 -2.2083987e-001
  1.1865072e+000 -2.2083987e-001
  1.2146123e+000 -2.4316914e-001
  1.2412438e+000 -2.5374171e-001
  1.2693490e+000 -2.6548432e-001
  1.2959805e+000 -2.7605689e-001
  1.3241033e+000 -2.8662946e-001
  1.3507349e+000 -2.9837206e-001
  1.3788400e+000 -3.2070133e-001
  1.4054715e+000 -3.3127390e-001
  1.4335766e+000 -3.4301651e-001
  1.4602081e+000 -3.5358908e-001
  1.4883310e+000 -3.7590425e-001
  1.5164361e+000 -3.8766095e-001
  1.5430677e+000 -3.9823352e-001
  1.5711728e+000 -4.2054870e-001
  1.5978043e+000 -4.3229130e-001
  1.6259272e+000 -4.4286387e-001
  1.6525587e+000 -4.6519314e-001
  1.6806638e+000 -4.7576571e-001
  1.7072953e+000 -4.8750831e-001
  1.7354005e+000 -5.0982349e-001
  1.7620320e+000 -5.2039606e-001
  1.7901549e+000 -5.3215276e-001
  1.8167864e+000 -5.5446793e-001
  1.8448915e+000 -5.7678311e-001
  1.8729966e+000 -5.8735568e-001
  1.8996281e+000 -5.9911238e-001
  1.9277510e+000 -6.2142755e-001
  1.9543825e+000 -6.2025752e-001
  1.9824877e+000 -6.4257269e-001
  2.0091192e+000 -6.6488787e-001
  2.0372243e+000 -6.7664457e-001
  2.0638558e+000 -6.8721714e-001
  2.0919787e+000 -7.0953231e-001
  2.1186102e+000 -7.3184749e-001
  2.1467153e+000 -7.4360419e-001
  2.1733468e+000 -7.5417676e-001
  2.2014520e+000 -7.7649193e-001
  2.2295748e+000 -7.9880711e-001
  2.2562064e+000 -8.1056381e-001
  2.2843115e+000 -8.2113638e-001
  2.3109430e+000 -8.4345155e-001
  2.3390481e+000 -8.5519415e-001
  2.3656796e+000 -8.7752342e-001
  2.3656796e+000 -8.7752342e-001
  2.3938025e+000 -8.8809600e-001
  2.4204340e+000 -9.1041117e-001
  2.4485392e+000 -9.3272634e-001
  2.4751707e+000 -9.4329891e-001
  2.5032758e+000 -9.5505561e-001
  2.5299073e+000 -9.7737079e-001
  2.5580302e+000 -9.9968596e-001
  2.5861353e+000 -1.0102585e+000
  2.6127668e+000 -1.0325878e+000
  2.6408720e+000 -1.0443304e+000
  2.6675035e+000 -1.0666456e+000
  2.6956264e+000 -1.0889749e+000
  2.7222579e+000 -1.0995474e+000
  2.7503630e+000 -1.1218626e+000
  2.7769945e+000 -1.1336052e+000
  2.8050996e+000 -1.1559345e+000
  2.8317311e+000 -1.1782496e+000
  2.8598540e+000 -1.2005648e+000
  2.8879592e+000 -1.2111374e+000
  2.9145907e+000 -1.2228941e+000
  2.9426958e+000 -1.2452093e+000
  2.9693273e+000 -1.2675244e+000
  2.9974502e+000 -1.2898537e+000
  3.0240817e+000 -1.3121689e+000
  3.0521868e+000 -1.3344841e+000
  3.0788183e+000 -1.3450566e+000
  3.1069235e+000 -1.3568133e+000
  3.1350463e+000 -1.3791285e+000
  3.1616779e+000 -1.4014437e+000
  3.1897830e+000 -1.4237729e+000
  3.2164145e+000 -1.4460881e+000
  3.2445196e+000 -1.4449181e+000
  3.2711511e+000 -1.4672333e+000
  3.2992740e+000 -1.4895484e+000
  3.3259055e+000 -1.5130477e+000
  3.3540107e+000 -1.5236203e+000
  3.3806422e+000 -1.5341929e+000
  3.4087473e+000 -1.5565081e+000
  3.4368702e+000 -1.5788373e+000
  3.4635017e+000 -1.5905799e+000
  3.4916068e+000 -1.6128951e+000
  3.5182383e+000 -1.6234677e+000
  3.5463435e+000 -1.6457969e+000
  3.5729750e+000 -1.6681121e+000
  3.6010979e+000 -1.6904273e+000
  3.6277294e+000 -1.7127566e+000
  3.6558345e+000 -1.7350717e+000
  3.6824660e+000 -1.7468143e+000
  3.7105711e+000 -1.7797162e+000
  3.7386940e+000 -1.7797162e+000
  3.7653255e+000 -1.8020314e+000
  3.7934306e+000 -1.8243465e+000
  3.8200622e+000 -1.8466758e+000
  3.8481673e+000 -1.8689910e+000
  3.8747988e+000 -1.8807336e+000
  3.9029217e+000 -1.9030628e+000
  3.9295532e+000 -1.9136354e+000
  3.9576583e+000 -1.9359506e+000
  3.9842898e+000 -1.9582658e+000
  4.0123950e+000 -1.9700225e+000
  4.0405178e+000 -1.9923376e+000
  4.0671494e+000 -2.0146528e+000
  4.0952545e+000 -2.0252254e+000
  4.1218860e+000 -2.0475547e+000
  4.1499911e+000 -2.0698698e+000
  4.1766226e+000 -2.0921850e+000
  4.2047455e+000 -2.1145143e+000
  4.2313770e+000 -2.1368294e+000
  4.2594822e+000 -2.1591446e+000
  4.2861137e+000 -2.1709013e+000
  4.3142188e+000 -2.1932165e+000
  4.3423417e+000 -2.2037891e+000
  4.3689732e+000 -2.2261042e+000
  4.3970783e+000 -2.2484335e+000
  4.4237098e+000 -2.2707487e+000
  4.4518150e+000 -2.2824913e+000
  4.4784465e+000 -2.3048206e+000
  4.5065694e+000 -2.3153931e+000
  4.5332009e+000 -2.3377083e+000
  4.5613060e+000 -2.3600235e+000
  4.5894111e+000 -2.3705961e+000
  4.6160426e+000 -2.3929253e+000
  4.6441655e+000 -2.4046679e+000
  4.6707970e+000 -2.4269831e+000
  4.6989021e+000 -2.4493124e+000
  4.7255337e+000 -2.4716275e+000
  4.7536388e+000 -2.4939427e+000
  4.7802703e+000 -2.5045153e+000
  4.8083932e+000 -2.5268446e+000
  4.8350247e+000 -2.5385872e+000
  4.8631298e+000 -2.5609023e+000
  4.8912349e+000 -2.5832316e+000
  4.9178665e+000 -2.6055468e+000
  4.9459893e+000 -2.6161194e+000
  4.9726209e+000 -2.6384345e+000
  5.0007260e+000 -2.6501912e+000
  5.0273575e+000 -2.6725064e+000
  5.0554626e+000 -2.6948216e+000
  5.0820941e+000 -2.7171508e+000
  5.0820941e+000 -2.7171508e+000
  5.1102170e+000 -2.7394660e+000
  5.1368485e+000 -2.7617812e+000
  5.1649537e+000 -2.7723538e+000
  5.1930588e+000 -2.7946830e+000
  5.2196903e+000 -2.8169982e+000
  5.2478132e+000 -2.8287408e+000
  5.2744447e+000 -2.8510701e+000
  5.3025498e+000 -2.8733853e+000
  5.3291813e+000 -2.8957004e+000
  5.3572865e+000 -2.9180297e+000
  5.3839180e+000 -2.9286023e+000
  5.4120408e+000 -2.9509174e+000
  5.4386724e+000 -2.9626600e+000
  5.4667775e+000 -2.9849893e+000
  5.4948826e+000 -3.0073045e+000
  5.5215141e+000 -3.0178771e+000
  5.5496370e+000 -3.0401922e+000
  5.5762685e+000 -3.0625215e+000
  5.6043736e+000 -3.0848367e+000
  5.6310052e+000 -3.1071519e+000
  5.6591103e+000 -3.1189086e+000
  5.6857418e+000 -3.1412237e+000
  5.7138647e+000 -3.1635389e+000
  5.7419698e+000 -3.1858682e+000
  5.7686013e+000 -3.2081833e+000
  5.7967064e+000 -3.2304985e+000
  5.8233380e+000 -3.2528278e+000
  5.8514608e+000 -3.2634004e+000
  5.8780924e+000 -3.2857155e+000
  5.9061975e+000 -3.3080307e+000
  5.9328290e+000 -3.3303600e+000
  5.9609341e+000 -3.3421026e+000
  5.9890570e+000 -3.3644178e+000
  6.0156885e+000 -3.3867470e+000
  6.0437936e+000 -3.4090622e+000
  6.0704252e+000 -3.4313774e+000
  6.0985303e+000 -3.4537066e+000
  6.1251618e+000 -3.4642792e+000
  6.1532847e+000 -3.4760218e+000
  6.1799162e+000 -3.4983370e+000
  6.2080213e+000 -3.5206663e+000
  6.2346528e+000 -3.5429814e+000
  6.2627580e+000 -3.5652966e+000
  6.2908808e+000 -3.5758692e+000
  6.3175123e+000 -3.5981985e+000
  6.3456175e+000 -3.6205136e+000
  6.3722490e+000 -3.6428288e+000
  6.4003541e+000 -3.6651581e+000
  6.4269856e+000 -3.6874733e+000
  6.4551085e+000 -3.6992159e+000
  6.4817400e+000 -3.7215451e+000
  6.5098451e+000 -3.7438603e+000
  6.5379503e+000 -3.7661755e+000
  6.5645818e+000 -3.7885047e+000
  6.5927047e+000 -3.8213925e+000
  6.6193362e+000 -3.8437077e+000
  6.6474413e+000 -3.8554644e+000
  6.6740728e+000 -3.8777795e+000
  6.7021779e+000 -3.9000947e+000
  6.7288095e+000 -3.9224240e+000
  6.7569323e+000 -3.9447392e+000
  6.7850375e+000 -3.9670543e+000
  6.8116690e+000 -3.9893836e+000
  6.8397741e+000 -3.9999562e+000
  6.8664056e+000 -4.0222713e+000
  6.8945285e+000 -4.0445865e+000
  6.9211600e+000 -4.0669158e+000
  6.9492651e+000 -4.0892310e+000
  6.9758967e+000 -4.1233028e+000
  7.0040018e+000 -4.1456180e+000
  7.0321247e+000 -4.1679332e+000
  7.0587562e+000 -4.1902625e+000
  7.0868613e+000 -4.2125776e+000
  7.1134928e+000 -4.2231502e+000
  7.1415979e+000 -4.2466467e+000
  7.1682295e+000 -4.2689647e+000
  7.1963523e+000 -4.2912827e+000
  7.2229838e+000 -4.3018552e+000
  7.2510890e+000 -4.3241789e+000
  7.2791941e+000 -4.3464969e+000
  7.3058256e+000 -4.3688149e+000
  7.3339485e+000 -4.3911385e+000
  7.3605800e+000 -4.4134565e+000
  7.3886851e+000 -4.4357745e+000
  7.4153166e+000 -4.4580981e+000
  7.4434218e+000 -4.4804161e+000
  7.4700533e+000 -4.5027341e+000
  7.4981762e+000 -4.5250577e+000
  7.5262813e+000 -4.5473757e+000
  7.5529128e+000 -4.5696937e+000
  7.5810179e+000 -4.5814448e+000
  7.6076494e+000 -4.6143353e+000
  7.6357723e+000 -4.6366533e+000
  7.6624038e+000 -4.6589770e+000
  7.6905090e+000 -4.6707224e+000
  7.7171405e+000 -4.6930404e+000
  7.7452456e+000 -4.7153640e+000
  7.7733685e+000 -4.7376820e+000
  7.8000000e+000 -4.7600000e+000
