G. Fekken. Numerical simulation of free surface flow with moving rigid bodies. PhD thesis, University of Groningen, 2004.
Time(-)	Velocity(-)
  0.0000000e+000 -1.5000000e-002
  3.1478373e-002 -2.7843127e-002
  6.2956746e-002 -4.0686254e-002
  9.4435118e-002 -5.3338448e-002
  1.2591349e-001 -6.6183875e-002
  1.5739186e-001 -7.8836069e-002
  1.8887024e-001 -9.1295030e-002
  2.2034861e-001 -1.0375629e-001
  2.5182698e-001 -1.1621755e-001
  2.8330536e-001 -1.2848558e-001
  3.1478373e-001 -1.4056267e-001
  3.4626210e-001 -1.5263977e-001
  3.7774047e-001 -1.6452593e-001
  4.0921885e-001 -1.7621886e-001
  4.4069362e-001 -1.8791178e-001
  4.7217199e-001 -1.9941378e-001
  5.0365037e-001 -2.1072484e-001
  5.3512874e-001 -2.2203590e-001
  5.6660711e-001 -2.3315373e-001
  5.9808549e-001 -2.4408062e-001
  6.2956386e-001 -2.5462335e-001
  6.6104223e-001 -2.6516838e-001
  6.9252060e-001 -2.7532694e-001
  7.2399898e-001 -2.8548780e-001
  7.5547735e-001 -2.9526450e-001
  7.8695572e-001 -3.0485026e-001
  8.1843409e-001 -3.1424279e-001
  8.4991247e-001 -3.2344438e-001
  8.8139084e-001 -3.3245505e-001
  9.1286921e-001 -3.4127248e-001
  9.4434759e-001 -3.4989897e-001
  9.7582596e-001 -3.5833453e-001
  1.0058114e+000 -3.6676780e-001
  1.0372897e+000 -3.7481919e-001
  1.0687681e+000 -3.8267966e-001
  1.1002465e+000 -3.9034689e-001
  1.1317248e+000 -3.9744132e-001
  1.1632032e+000 -4.0453345e-001
  1.1946816e+000 -4.1124371e-001
  1.2261600e+000 -4.1795167e-001
  1.2576383e+000 -4.2447100e-001
  1.2891167e+000 -4.3079710e-001
  1.3205951e+000 -4.3692996e-001
  1.3520735e+000 -4.4287419e-001
  1.3835518e+000 -4.4862519e-001
  1.4150302e+000 -4.5399202e-001
  1.4465086e+000 -4.5916792e-001
  1.4779869e+000 -4.6415288e-001
  1.5094653e+000 -4.6894461e-001
  1.5409437e+000 -4.7335448e-001
  1.5724221e+000 -4.7776204e-001
  1.6039004e+000 -4.8217191e-001
  1.6353788e+000 -4.8619761e-001
  1.6668572e+000 -4.9003237e-001
  1.6983356e+000 -4.9348297e-001
  1.7298139e+000 -4.9674033e-001
  1.7612923e+000 -4.9980907e-001
  1.7927707e+000 -5.0268457e-001
  1.8242490e+000 -5.0556006e-001
  1.8557274e+000 -5.0843556e-001
  1.8872058e+000 -5.1073596e-001
  1.9186842e+000 -5.1322729e-001
  1.9501625e+000 -5.1495259e-001
  1.9816409e+000 -5.1667789e-001
  2.0131193e+000 -5.1840319e-001
  2.0431047e+000 -5.1993756e-001
  2.0745831e+000 -5.2127869e-001
  2.1060614e+000 -5.2281306e-001
  2.1375398e+000 -5.2377002e-001
  2.1690182e+000 -5.2472929e-001
