S. Moyo and M. Greenhow. Free motion of a cylinder moving below and through a free surface. Applied Ocean Research, 22:31-44, 2000.
Time(-)	Velocity(-)
  0.0000000e+000 -1.5000000e-002
  3.1262902e-002 -1.5000000e-002
  5.2100073e-002 -3.3805196e-002
  7.4430717e-002 -3.7641299e-002
  9.5275033e-002 -4.8771985e-002
  1.1760568e-001 -6.0091483e-002
  1.3844999e-001 -6.7768295e-002
  1.6078064e-001 -7.5251690e-002
  1.8161781e-001 -8.6571188e-002
  2.0394845e-001 -9.4054583e-002
  2.2479277e-001 -1.0537638e-001
  2.4712341e-001 -1.1285978e-001
  2.6796773e-001 -1.2034317e-001
  2.9029837e-001 -1.2801768e-001
  3.1113554e-001 -1.3550108e-001
  3.3346619e-001 -1.4298447e-001
  3.5431051e-001 -1.5814468e-001
  3.7515482e-001 -1.6562807e-001
  3.9748547e-001 -1.7311147e-001
  4.1832264e-001 -1.8059486e-001
  4.4065328e-001 -1.9191436e-001
  4.6149760e-001 -2.0323616e-001
  4.8382824e-001 -2.1071956e-001
  5.0467613e-001 -2.1839407e-001
  5.2700678e-001 -2.2587746e-001
  5.4783680e-001 -2.3336086e-001
  5.7016744e-001 -2.4468266e-001
  5.9101533e-001 -2.5216605e-001
  6.1334598e-001 -2.6348785e-001
  6.3419387e-001 -2.7116236e-001
  6.5652451e-001 -2.7864576e-001
  6.7735454e-001 -2.8612915e-001
  6.9968518e-001 -2.9361255e-001
  7.2053307e-001 -3.0128706e-001
  7.4286371e-001 -3.0877045e-001
  7.6371160e-001 -3.1260886e-001
  7.8604225e-001 -3.2009225e-001
  8.0687227e-001 -3.3141405e-001
  8.2920292e-001 -3.3889745e-001
  8.5005081e-001 -3.4638084e-001
  8.7238145e-001 -3.5021694e-001
  8.9322934e-001 -3.6153875e-001
  9.1555998e-001 -3.6537715e-001
  9.3639001e-001 -3.7669665e-001
  9.5872065e-001 -3.7669665e-001
  9.8105130e-001 -3.8418004e-001
  1.0018992e+000 -3.9166344e-001
  1.0242298e+000 -3.9934025e-001
  1.0450777e+000 -4.0682365e-001
  1.0674084e+000 -4.1430704e-001
  1.0882384e+000 -4.1430704e-001
  1.1105690e+000 -4.2198155e-001
  1.1328997e+000 -4.2581996e-001
  1.1537476e+000 -4.3694834e-001
  1.1760782e+000 -4.4462285e-001
  1.1969261e+000 -4.4827014e-001
  1.2192567e+000 -4.5210624e-001
  1.2400868e+000 -4.5594465e-001
  1.2624174e+000 -4.6342804e-001
  1.2624174e+000 -4.6342804e-001
  1.2847481e+000 -4.7091144e-001
  1.3055959e+000 -4.7858595e-001
  1.3279266e+000 -4.8242435e-001
  1.3487745e+000 -4.8990775e-001
  1.3711051e+000 -4.9374615e-001
  1.3919351e+000 -4.9739114e-001
  1.4142658e+000 -5.0506565e-001
  1.4365964e+000 -5.0506565e-001
  1.4574443e+000 -5.1254905e-001
  1.4797750e+000 -5.1638745e-001
  1.5021056e+000 -5.2022586e-001
  1.5229535e+000 -5.2770925e-001
  1.5452841e+000 -5.3154536e-001
  1.5661142e+000 -5.3519265e-001
  1.5884448e+000 -5.4286716e-001
  1.6107755e+000 -5.4670556e-001
  1.6316234e+000 -5.5035055e-001
  1.6539540e+000 -5.5418896e-001
  1.6762846e+000 -5.5802506e-001
  1.6971325e+000 -5.6186347e-001
  1.7194632e+000 -5.6550846e-001
  1.7402932e+000 -5.6934686e-001
  1.7626238e+000 -5.7318527e-001
  1.7849545e+000 -5.7318527e-001
  1.8058024e+000 -5.8066866e-001
  1.8281330e+000 -5.8085978e-001
  1.8504637e+000 -5.8834317e-001
  1.8713116e+000 -5.8834317e-001
  1.8936422e+000 -5.9582657e-001
  1.9159728e+000 -5.9601768e-001
  1.9368029e+000 -6.0350108e-001
  1.9591335e+000 -6.0350108e-001
  1.9814642e+000 -6.0733948e-001
  2.0023120e+000 -6.1117789e-001
  2.0246427e+000 -6.1117789e-001
  2.0469733e+000 -6.1866128e-001
  2.0678212e+000 -6.1866128e-001
  2.0901519e+000 -6.2249739e-001
  2.1124825e+000 -6.2633579e-001
  2.1556432e+000 -6.2633579e-001
  2.1779738e+000 -6.3017420e-001
  2.2003045e+000 -6.3401030e-001
  2.2434830e+000 -6.3401030e-001
  2.2658136e+000 -6.4168711e-001
  2.3089922e+000 -6.4168711e-001
  2.3313228e+000 -6.4552322e-001
  2.3536535e+000 -6.4936162e-001
  2.4414754e+000 -6.4936162e-001
  2.4623233e+000 -6.4955274e-001
  2.5069846e+000 -6.4955274e-001
  2.5293152e+000 -6.5339114e-001
  2.5501631e+000 -6.5339114e-001
  2.5724938e+000 -6.5722955e-001
  2.6171551e+000 -6.5722955e-001
  2.6379851e+000 -6.5742066e-001
  2.7049770e+000 -6.5742066e-001
  2.7273077e+000 -6.5761178e-001
  2.7704862e+000 -6.5761178e-001
  2.7928168e+000 -6.6145018e-001
  2.8583260e+000 -6.6145018e-001
  2.8806567e+000 -6.6164130e-001
  2.9238173e+000 -6.6164130e-001
  2.9461480e+000 -6.6547970e-001
  2.9908093e+000 -6.6547970e-001
  3.0131399e+000 -6.6183472e-001
  3.0339878e+000 -6.6567082e-001
  3.0563184e+000 -6.6183472e-001
  3.0786491e+000 -6.6202583e-001
  3.1009797e+000 -6.6567082e-001
  3.1218276e+000 -6.6586424e-001
  3.1441583e+000 -6.6586424e-001
  3.1664889e+000 -6.6221694e-001
  3.2111502e+000 -6.6221694e-001
  3.2319802e+000 -6.5857196e-001
  3.2989722e+000 -6.5857196e-001
  3.3213028e+000 -6.5876307e-001
  3.3868120e+000 -6.5876307e-001
  3.4091426e+000 -6.5511808e-001
  3.4314733e+000 -6.5147309e-001
  3.4314733e+000 -6.5147309e-001
  3.4969824e+000 -6.5147309e-001
  3.5193131e+000 -6.5166421e-001
  3.5848044e+000 -6.5166421e-001
  3.6071351e+000 -6.5185532e-001
  3.6294657e+000 -6.5185532e-001
  3.6517963e+000 -6.4801922e-001
  3.6726442e+000 -6.4821033e-001
  3.7396362e+000 -6.4821033e-001
  3.7619668e+000 -6.4456534e-001
  3.7842974e+000 -6.4456534e-001
  3.8051453e+000 -6.4475646e-001
  3.8929673e+000 -6.4475646e-001
  3.9152979e+000 -6.5243097e-001
  3.9808071e+000 -6.5243097e-001
  4.0031378e+000 -6.5262438e-001
  4.0686469e+000 -6.5262438e-001
  4.0909776e+000 -6.5281550e-001
  4.1787995e+000 -6.5281550e-001
  4.2011302e+000 -6.5300661e-001
  4.2666394e+000 -6.5300661e-001
  4.2889700e+000 -6.5320003e-001
  4.3559619e+000 -6.5320003e-001
  4.3768098e+000 -6.5339114e-001
  4.3991405e+000 -6.5339114e-001
  4.4214711e+000 -6.6087454e-001
  4.4646318e+000 -6.6087454e-001
  4.4869624e+000 -6.6106565e-001
  4.5524716e+000 -6.6106565e-001
  4.5748023e+000 -6.6125907e-001
  4.6403114e+000 -6.6125907e-001
  4.6626421e+000 -6.6145018e-001
  4.6849727e+000 -6.6509517e-001
  4.7073034e+000 -6.6528859e-001
  4.7504640e+000 -6.6528859e-001
  4.7727947e+000 -6.6912469e-001
  4.7951253e+000 -6.6528859e-001
  4.8159732e+000 -6.6912469e-001
  4.8383039e+000 -6.6912469e-001
  4.8606345e+000 -6.6931811e-001
  4.9261437e+000 -6.6931811e-001
  4.9484743e+000 -6.6950923e-001
  5.0362963e+000 -6.6950923e-001
  5.0586269e+000 -6.6970034e-001
  5.0809576e+000 -6.7334763e-001
  5.1018055e+000 -6.7353875e-001
  5.1687974e+000 -6.7353875e-001
  5.1911280e+000 -6.7372986e-001
  5.2343066e+000 -6.7372986e-001
  5.2566372e+000 -6.7756827e-001
  5.2789679e+000 -6.7372986e-001
  5.2997979e+000 -6.7392328e-001
  5.3444592e+000 -6.7392328e-001
  5.3667898e+000 -6.7775938e-001
  5.4099683e+000 -6.7775938e-001
  5.4322990e+000 -6.7795280e-001
  5.4546296e+000 -6.7795280e-001
  5.4754775e+000 -6.8178890e-001
  5.5424695e+000 -6.8178890e-001
  5.5632995e+000 -6.8198232e-001
  5.5856301e+000 -6.8562731e-001
  5.6079608e+000 -6.8198232e-001
  5.6079608e+000 -6.8198232e-001
  5.6302914e+000 -6.8581842e-001
  5.6958006e+000 -6.8581842e-001
  5.7181312e+000 -6.8965683e-001
  5.7389791e+000 -6.8965683e-001
  5.7613098e+000 -6.8984794e-001
  5.7836404e+000 -6.8984794e-001
  5.8059711e+000 -6.9368635e-001
  5.8714624e+000 -6.9368635e-001
  5.8937930e+000 -6.9387746e-001
  5.9593022e+000 -6.9387746e-001
  5.9816328e+000 -6.9771587e-001
  6.0248114e+000 -6.9771587e-001
  6.0471420e+000 -6.9790744e-001
  6.0694727e+000 -7.0155381e-001
  6.0918033e+000 -7.0174539e-001
  6.1126333e+000 -7.0174539e-001
  6.1349640e+000 -7.0558333e-001
  6.1796253e+000 -7.0558333e-001
  6.2004731e+000 -7.0942036e-001
  6.2451344e+000 -7.0942036e-001
  6.2659823e+000 -7.1325830e-001
  6.2883130e+000 -7.1325830e-001
  6.3106436e+000 -7.1709625e-001
  6.3538043e+000 -7.1709625e-001
  6.3761349e+000 -7.1728782e-001
  6.3984656e+000 -7.1728782e-001
  6.4207962e+000 -7.2112577e-001
  6.4416441e+000 -7.2112577e-001
  6.4639747e+000 -7.2496279e-001
  6.5086360e+000 -7.2496279e-001
  6.5294839e+000 -7.2880074e-001
  6.5741452e+000 -7.2880074e-001
  6.5949752e+000 -7.3263868e-001
  6.6173059e+000 -7.3263868e-001
  6.6396365e+000 -7.3283026e-001
  6.6842978e+000 -7.3283026e-001
  6.7051457e+000 -7.3666820e-001
  6.7274764e+000 -7.3666820e-001
  6.7498070e+000 -7.4050523e-001
  6.8153162e+000 -7.4050523e-001
  6.8376468e+000 -7.4434317e-001
  6.8584768e+000 -7.4434317e-001
  6.8808075e+000 -7.4453475e-001
  6.9254688e+000 -7.4453475e-001
  6.9463167e+000 -7.4837269e-001
  6.9909780e+000 -7.4837269e-001
  7.0133086e+000 -7.5221064e-001
  7.0341565e+000 -7.5221064e-001
  7.0564871e+000 -7.5240221e-001
  7.0788178e+000 -7.5604766e-001
  7.1011484e+000 -7.5624016e-001
  7.1219784e+000 -7.5624016e-001
  7.1443091e+000 -7.5988561e-001
  7.1666397e+000 -7.6007718e-001
  7.1874876e+000 -7.6372355e-001
