Hadzic I, Hennig J, Peric M, Xing-Kaeding Y, 2005. Computation of flow-induced motion of floating bodies. Applied Mathematical Modelling 29, 1196–1210.
Time	WaveProbe_N1	Time	WaveProbe_N2	Time	WP_Heave	Time	WP_Roll	Time	WP_Sway
2.998635226	0.000606321	4.995696166	-0.000231978	6.305690228	-0.000153432	6.29E+00	-4.27E-02	6.30E+00	1.95E-03
3.013560393	0.000515895	5.003335557	-0.000134243	6.323667104	0.000229262	6.31E+00	-2.13E-01	6.32E+00	1.50E-03
3.031470593	0.000335044	5.015558583	-0.000134243	6.3461382	0.000611956	6.33E+00	-4.17E-01	6.35E+00	1.65E-03
3.046395759	0.000244618	5.020142218	-0.000231978	6.370856406	0.000420609	6.34E+00	-5.43E-01	6.36E+00	1.35E-03
3.064305959	0.000244618	5.035421	-0.000231978	6.391080392	0.000133588	6.35E+00	-9.63E-01	6.39E+00	1.65E-03
3.082216159	0.000244618	5.064450686	-0.000231978	6.415798598	-0.000153432	6.35E+00	-1.34E+00	6.42E+00	1.80E-03
3.100126359	0.000154192	5.069034321	-0.000231978	6.445011022	-0.00034478	6.36E+00	-1.76E+00	6.44E+00	2.70E-03
3.118036559	-2.66593E-05	5.079729468	-3.65088E-05	6.462987899	-0.00034478	6.38E+00	-1.76E+00	6.47E+00	3.00E-03
3.147886892	-0.000117085	5.085840981	-0.000231978	6.489953214	-0.001014494	6.39E+00	-1.42E+00	6.48E+00	3.29E-03
3.171767158	-0.000117085	5.12098218	-3.65088E-05	6.505682982	-0.000823147	6.41E+00	-9.21E-01	6.49E+00	3.74E-03
3.189677358	-0.000207511	5.13778884	6.12256E-05	6.550625173	-0.000918821	6.43E+00	-5.85E-01	6.52E+00	4.64E-03
3.210572591	-0.000117085	5.166818526	-3.65088E-05	6.588826036	-0.0006318	6.44E+00	-4.17E-01	6.54E+00	5.39E-03
3.222512725	-0.000207511	5.200431847	0.00015896	6.6270269	-0.000536127	6.46E+00	-3.75E-01	6.55E+00	6.43E-03
3.258333124	-0.000117085	5.217238507	0.00015896	6.653992215	-0.00034478	6.48E+00	-5.85E-01	6.58E+00	6.88E-03
3.285198424	-2.66593E-05	5.256963341	6.12256E-05	6.68095753	-0.002449598	6.50E+00	-7.53E-01	6.58E+00	7.78E-03
3.300123591	-2.66593E-05	5.27529788	0.00015896	6.701181516	-0.003502007	6.52E+00	-9.21E-01	6.61E+00	9.27E-03
3.318033791	0.000244618	5.298216053	-0.000231978	6.739382379	-0.005128457	6.54E+00	-1.13E+00	6.63E+00	1.05E-02
3.34489909	0.000335044	5.316550591	-0.000231978	6.761853475	-0.009146746	6.55E+00	-1.26E+00	6.64E+00	1.11E-02
3.377734457	0.000606321	5.324189982	-3.65088E-05	6.779830352	-0.010773196	6.58E+00	-1.55E+00	6.65E+00	1.21E-02
